zone,Minute,Result,X,Y,player,h_a,situation,shotType,domVSnondom,Opponent,playerAssist,typeOfAssist,sideOfAttack,PossesionWon,typeOfAttack,year,goals.x,goals.y,sideOfAttackGrouped,Team,Game,GK,net_x,net_y,PSxG
3,93,MISSED,7.16,42.79,PLAYER 9,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 6,,CROSSINAIR,RIGHT,OFFENSIVE,COUNTER,2022,0,0.2632611997593791,SIDE,TEAM,2022 - OPPONENT 6 - HOME,GK,4.71,9.38,0.01
3,22,BLOCKED,11.13,50.28,PLAYER 21,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 7,,,RIGHT,OFFENSIVE,COUNTER,2022,0,0.10200882264896269,SIDE,TEAM,2022 - OPPONENT 7 - HOME,GK,6.29,2.02,0.9314600551198393
3,53,GOAL,6.78,39.85,PLAYER 22,HOME,THROW-IN,LEFTFOOT,DOMINANT,OPPONENT 10,SHELTON,SHORT PASS,RIGHT,OFFENSIVE,THROW-IN,2022,1,0.3579212237105474,SIDE,TEAM,2022 - OPPONENT 10 - HOME,GK,-5.06,7.55,0.9514599722126683
3,49,SAVED,16.35,31.63,PLAYER 9,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 10,PARKER,SHORT PASS,RIGHT,DEFENSIVE,COUNTER,2022,0,0.111584075193478,SIDE,TEAM,2022 - OPPONENT 10 - HOME,GK,-7.84,5.95,0.9394165232854649
3,24,SAVED,7.4,35.06,PLAYER 18,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 12,W. SHAFFER,CROSSINAIR,LEFT,MIDDLE,COUNTER,2022,0,0.32857103124514625,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-13.16,0.76,0.01
3,93,BLOCKED,17.59,49.73,PLAYER 18,HOME,OPENPLAY,LEFTFOOT,NONDOMINANT,OPPONENT 6,,LONG BALL,LEFT,DEFENSIVE,RESTART,2022,0,0.07277618673326126,SIDE,TEAM,2022 - OPPONENT 6 - HOME,GK,0.83,11.15,0.01
3,12,GOAL,105.83,46.97,PLAYER 16,AWAY,CORNER,RIGHTFOOT,,OPPONENT 4,,,LEFT,OFFENSIVE,RESTART,2022,1,0.10973568679090205,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-7.04,11.78,0.01
3,46,SAVED,7.34,47.57,PLAYER 23,AWAY,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 9,SHELTON,SHORT PASS,MIDDLE,OFFENSIVE,COUNTER,2022,0,0.1521144018942541,MIDDLE,TEAM,2022 - OPPONENT 9 - AWAY,GK,6.48,6.01,0.9329360374040203
3,20,SAVED,15.29,33.65,PLAYER 23,AWAY,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 9,KERN,SHORT PASS,LEFT,MIDDLE,COUNTER,2022,0,0.13233950000930078,SIDE,TEAM,2022 - OPPONENT 9 - AWAY,GK,17.49,0.4,0.01
3,30,SAVED,14.01,45.17,PLAYER 18,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 1,GOTTRON,CROSSONGROUND,MIDDLE,MIDDLE,COUNTER,2022,0,0.12435979661193276,MIDDLE,TEAM,2022 - OPPONENT 1 - HOME,GK,-17.85,4,0.01
3,78,GOAL,12.3,40,PLAYER 9,HOME,PENALTYKICK,RIGHTFOOT,DOMINANT,OPPONENT 7,,,MIDDLE,OFFENSIVE,PENALTY,2022,1,0.18616641943991,MIDDLE,TEAM,2022 - OPPONENT 7 - HOME,GK,10.57,9.2,0.01
