"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"209",209,6,50,"MISSED",95.91,26.78,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 1","","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.0484458713894816,"SIDE","OPPONENT","2022 - OPPONENT 1 - HOME","GK",12.55,5.15,0.01,NA
"210",210,6,102,"SAVED",23.85,45.66,"PLAYER 12","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","KING","SHORT PASS","MIDDLE","DEFENSIVE","RESTART",2022,0,0.0542688083026965,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-5.87,7.65,0.01,NA
"211",211,6,5,"BLOCKED",20.54,30.17,"PLAYER 8","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 8","SCHIRMER","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.0735989745620894,"MIDDLE","TEAM","2022 - OPPONENT 8 - HOME","GK",NA,NA,0.961672867195456,NA
"212",212,6,56,"SAVED",24,35.1,"PLAYER 8","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","","THROUGH BALL","MIDDLE","DEFENSIVE","RESTART",2022,0,0.0608266845917262,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-0.31,3.58,0.936383778029855,NA
"213",213,6,15,"MISSED",23.71,37.36,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0632257338131412,"MIDDLE","TEAM","2022 - OPPONENT 14 - HOME","GK",5.94,9.58,0.01,NA
"214",214,6,83,"SAVED",91.38,37.36,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 6","","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.0408412443462359,"SIDE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",-11.02,1.6,0.906138344609117,NA
"215",215,6,47,"MISSED",15.66,20.61,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","SHELTON","SHORT PASS","LEFT","DEFENSIVE","RESTART",2022,0,0.0597484647366796,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",2.5,10.45,0.951024885944508,NA
"216",216,6,56,"SAVED",95.24,46.17,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 7","","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.0495072127230958,"MIDDLE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",-3.8,3.89,0.01,NA
"217",217,6,90,"MISSED",25.94,61.05,"PLAYER 22","HOME","FREEKICK","LEFTFOOT","DOMINANT","OPPONENT 6","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.0218970489248653,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",4.58,9.13,0.941469805336174,NA
"218",218,6,5,"SAVED",95.1,46.61,"PLAYER 16","AWAY","FREEKICK","RIGHTFOOT","","OPPONENT 4","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0482238869580984,"MIDDLE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",8.45,7.09,0.01,NA
"219",219,6,51,"SAVED",21.77,37.06,"PLAYER 9","HOME","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 6","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0754376054440995,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-8.94,2.92,0.01,NA
"220",220,6,39,"MISSED",27.81,27.08,"PLAYER 11","HOME","THROW-IN","LEFTFOOT","DOMINANT","OPPONENT 3","DUGGAN","SHORT PASS","MIDDLE","MIDDLE","THROW-IN",2022,0,0.0364714630146363,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",3.2,8.91,0.01,NA
"221",221,6,68,"BLOCKED",34.74,44,"PLAYER 11","HOME","CORNER","LEFTFOOT","DOMINANT","OPPONENT 6","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.0227224483940443,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",NA,NA,0.958766108652435,NA
"222",222,6,72,"MISSED",25.34,53.05,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","SHORT PASS","MIDDLE","DEFENSIVE","RESTART",2022,0,0.0354645600398662,"MIDDLE","TEAM","2022 - OPPONENT 14 - HOME","GK",-8.97,11.14,0.943516453888259,NA
"223",223,6,78,"SAVED",19.98,34.04,"PLAYER 18","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","CROSSONGROUND","LEFT","MIDDLE","COUNTER",2022,0,0.086199098524154,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-0.12,0.92,0.935055690458851,NA
"224",224,6,75,"MISSED",24.94,53.94,"PLAYER 23","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","CONKEY","OTHER","MIDDLE","DEFENSIVE","LONG BALL",2022,0,0.0348566683239907,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",16.97,6.32,0.01,NA
"225",225,6,5,"MISSED",26.65,27.08,"PLAYER 20","HOME","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 10","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.040014430164327,"MIDDLE","TEAM","2022 - OPPONENT 10 - HOME","GK",-12.1,6.88,0.01,NA
"226",226,6,36,"SAVED",22.73,28.94,"PLAYER 9","AWAY","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 5","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0586969679672756,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",9.32,1.03,0.896573625800512,NA
"227",227,6,52,"SAVED",96.11,41.41,"PLAYER 16","AWAY","FREEKICK","RIGHTFOOT","","OPPONENT 5","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0601759657719229,"MIDDLE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",1.89,5.08,0.01,NA
"228",228,6,26,"MISSED",96.98,55.57,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 10","","","LEFT","OFFENSIVE","COUNTER",2022,0,0.036181614029547,"SIDE","OPPONENT","2022 - OPPONENT 10 - HOME","GK",9.77,9.11,0.883780916837558,NA
"229",229,6,45,"MISSED",21.77,37.81,"PLAYER 12","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","","CROSSINAIR","MIDDLE","MIDDLE","RESTART",2022,0,0.0754560180213146,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-1.44,11.57,0.01,NA
"230",230,6,28,"MISSED",92.65,43.74,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 1","","LONG BALL","MIDDLE","DEFENSIVE","LONG BALL",2022,0,0.0425991530265985,"MIDDLE","OPPONENT","2022 - OPPONENT 1 - HOME","GK",-3.76,9.78,0.01,NA
"231",231,6,49,"SAVED",96.18,54.09,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.0373143416921956,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-5.42,2.29,0.941957113209094,NA
"232",232,6,44,"MISSED",99.87,34.64,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 13","","OTHER","RIGHT","OFFENSIVE","RESTART",2022,0,0.0859156932352817,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",-4.79,9.99,0.01,NA
"233",233,6,90,"SAVED",19.83,50.79,"PLAYER 3","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 13","","SHORT PASS","MIDDLE","OFFENSIVE","DEFLECTED SHOT",2022,0,0.0586915964041607,"MIDDLE","TEAM","2022 - OPPONENT 13 - AWAY","GK",-0.93,1.39,0.01,NA
"234",234,6,44,"GOAL",19.16,43.9,"PLAYER 11","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 8","GEORGE","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,1,0.0855807305890987,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",4.6,4.92,0.01,NA
"235",235,6,42,"MISSED",28.2,37.41,"PLAYER 5","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","W. SHAFFER","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0423771300160478,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",16.51,1.39,0.01,NA
"236",236,6,35,"GOAL",98.87,52.78,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 7","","SHORT PASS","LEFT","DEFENSIVE","POSSESSION",2022,1,0.0480204182433312,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",3.85,1.21,0.93032502143338,NA
"237",237,6,19,"MISSED",96.47,58.53,"PLAYER 16","AWAY","FREEKICK","RIGHTFOOT","","OPPONENT 4","","","LEFT","MIDDLE","RESTART",2022,0,0.0294001010750808,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-9.39,8.39,0.01,NA
"238",238,6,8,"SAVED",26.98,50.18,"PLAYER 22","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 6","WINCHESTER","SHORT PASS","RIGHT","MIDDLE","RESTART",2022,0,0.0357796774223704,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",10.45,7.07,0.01,NA
"239",239,6,68,"MISSED",26.35,29.57,"PLAYER 13","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 11","","LONG BALL","LEFT","DEFENSIVE","POSSESSION",2022,0,0.0444088980686677,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",0.65,8.94,0.912353730607655,NA
"240",240,6,21,"SAVED",96.69,54.83,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 8","","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.0370484355079974,"SIDE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",3.95,2.29,0.888499787884272,NA
"241",241,6,61,"BLOCKED",91.61,30.6,"PLAYER 16","HOME","FREEKICK","RIGHTFOOT","","OPPONENT 7","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0384358036110069,"MIDDLE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",NA,NA,0.944095785604382,NA
"242",242,6,9,"MISSED",25.59,37.1,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 7","W. SHAFFER","SHORT PASS","LEFT","DEFENSIVE","POSSESSION",2022,0,0.0533830029824496,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",-15.21,2.84,0.945696013916118,NA
"243",243,6,89,"BLOCKED",25.2,19.71,"PLAYER 20","AWAY","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 13","","OTHER","MIDDLE","DEFENSIVE","LONG BALL",2022,0,0.0318902669038638,"MIDDLE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.01,NA
"244",244,6,67,"BLOCKED",22.48,58.26,"PLAYER 3","AWAY","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 2","KING","SHORT PASS","MIDDLE","DEFENSIVE","POSSESSION",2022,0,0.0317872702602194,"MIDDLE","TEAM","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.913797795029766,NA
"245",245,6,2,"MISSED",19.02,57.66,"PLAYER 21","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 7","LOCKE","SHORT PASS","RIGHT","DEFENSIVE","COUNTER",2022,0,0.0400106230931085,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",8.25,9.53,0.01,NA
"246",246,6,73,"MISSED",26.32,27.14,"PLAYER 4","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 8","DUGGAN","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.0411695520583633,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",12.8,8.36,0.01,NA
"247",247,6,82,"BLOCKED",19.25,27.08,"PLAYER 21","HOME","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 7","","","LEFT","MIDDLE","RESTART",2022,0,0.071363943394717,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",NA,NA,0.01,NA
"248",248,6,85,"SAVED",20.17,44.24,"PLAYER 18","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 5","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0775448131095382,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",-11.29,4.64,0.01,NA
"249",249,6,42,"BLOCKED",21.32,42.94,"PLAYER 7","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 13","","SHORT PASS","LEFT","OFFENSIVE","RESTART",2022,0,0.0730349353996587,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.923065386518801,NA
"250",250,6,74,"BLOCKED",18.64,49.88,"PLAYER 8","AWAY","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 13","SHELTON","OTHER","MIDDLE","MIDDLE","LONG BALL",2022,0,0.0671081396816932,"MIDDLE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.01,NA
"251",251,6,25,"BLOCKED",28.68,52.04,"PLAYER 22","HOME","FREEKICK","LEFTFOOT","DOMINANT","OPPONENT 3","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.02913107742197,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.970100090912911,NA
