"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"252",252,6,2,"BLOCKED",24.3,36.3,"PLAYER 8","AWAY","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 13","KING","SHORT PASS","RIGHT","MIDDLE","RESTART",2022,0,0.0597638721299518,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.891643996105842,NA
"253",253,6,33,"MISSED",100.29,51.77,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 5","","","MIDDLE","MIDDLE","COUNTER",2022,0,0.0559302886646546,"MIDDLE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",11.88,11.21,0.952359847076666,NA
"254",254,6,13,"SAVED",28.77,48.52,"PLAYER 20","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","","MIDDLE","MIDDLE","COUNTER",2022,0,0.0331025737221027,"MIDDLE","TEAM","2022 - OPPONENT 14 - HOME","GK",4.57,0.07,0.01,NA
"255",255,6,20,"SAVED",27.84,27.29,"PLAYER 16","HOME","FREEKICK","RIGHTFOOT","","OPPONENT 12","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0366403009753201,"SIDE","OPPONENT","2022 - OPPONENT 12 - HOME","GK",-11.53,1.88,0.01,NA
"256",256,6,86,"SAVED",22.07,42.79,"PLAYER 12","HOME","CORNER","LEFTFOOT","NONDOMINANT","OPPONENT 6","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0686530771110397,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",2.12,1.91,0.01,NA
"257",257,6,51,"SAVED",97.47,37.13,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 1","","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.0703682311689439,"SIDE","OPPONENT","2022 - OPPONENT 1 - HOME","GK",5.16,7.55,0.947509047530504,NA
"258",258,6,52,"SAVED",99.59,23.4,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 7","","THROUGH BALL","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.0538911768546111,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",6.33,1.99,0.01,NA
"259",259,6,8,"MISSED",20.58,37.81,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0842498271019936,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",17.59,9.69,0.01,NA
"260",260,6,68,"BLOCKED",25.72,38.4,"PLAYER 9","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 2","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0526994966735792,"MIDDLE","TEAM","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.905858002427879,NA
"261",261,6,7,"MISSED",94.51,43.39,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 14","","SHORT PASS","MIDDLE","DEFENSIVE","RESTART",2022,0,0.0503254638384334,"MIDDLE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",-12.73,8.12,0.01,NA
"262",262,6,96,"MISSED",19.08,27.7,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","","CROSSINAIR","RIGHT","DEFENSIVE","RESTART",2022,0,0.0745582695241332,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",-14.22,8.9,0.01,NA
"263",263,6,1,"MISSED",93.16,56.37,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 13","","SHORT PASS","MIDDLE","MIDDLE","RESTART",2022,0,0.0269874022483209,"MIDDLE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",-6.12,9.47,0.01,NA
"264",264,6,88,"MISSED",22.87,49.69,"PLAYER 20","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 10","LOCKE","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.0498923285091217,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",-5.53,11.47,0.01,NA
"265",265,6,7,"MISSED",19.08,40.68,"PLAYER 9","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","","SHORT PASS","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0941476960983604,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",-17.34,4.59,0.01,NA
"266",266,6,34,"SAVED",93.74,34.3,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.0493284172462603,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",3.84,2.38,0.01,NA
"267",267,6,82,"SAVED",100.02,34.49,"PLAYER 16","AWAY","THROW-IN","RIGHTFOOT","","OPPONENT 14","","THROW-IN","LEFT","OFFENSIVE","THROW-IN",2022,0,0.0868984768636286,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",11.23,6.05,0.01,NA
"268",268,6,62,"MISSED",99.72,35.7,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 13","","OTHER","LEFT","OFFENSIVE","RESTART",2022,0,0.0858937782929269,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",7.17,8.26,0.01,NA
"269",269,6,65,"BLOCKED",97.19,48.83,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 13","","THROW-IN","LEFT","OFFENSIVE","RESTART",2022,0,0.0521268201591074,"SIDE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",NA,NA,0.01,NA
"270",270,7,58,"MISSED",32.3,41.47,"PLAYER 18","HOME","THROW-IN","RIGHTVOLLEY","DOMINANT","OPPONENT 11","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0289718639435667,"MIDDLE","TEAM","2022 - OPPONENT 11 - HOME","GK",-9.79,10.82,0.01,NA
"271",271,7,11,"SAVED",33.18,29.88,"PLAYER 22","AWAY","THROW-IN","LEFTVOLLEY","DOMINANT","OPPONENT 9","","THROW-IN","LEFT","OFFENSIVE","THROW-IN",2022,0,0.0253408274024477,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-4.89,7.39,0.01,NA
"272",272,7,36,"BLOCKED",88.28,37.21,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 11","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0311688393864591,"MIDDLE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",NA,NA,0.01,NA
"273",273,7,70,"MISSED",82.33,41.03,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 10","","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0184317066095914,"SIDE","OPPONENT","2022 - OPPONENT 10 - HOME","GK",2.61,11.51,0.01,NA
"274",274,7,6,"MISSED",31.43,40.59,"PLAYER 4","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","KING","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0315065053737409,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",15.47,9.19,0.01,NA
"275",275,7,41,"BLOCKED",88.56,29.35,"PLAYER 16","HOME","FREEKICK","LEFTFOOT","","OPPONENT 8","","","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0289363343362883,"MIDDLE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",NA,NA,0.924101029477935,NA
"276",276,7,35,"MISSED",32.45,25.17,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 11","GOTTRON","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.0236805005130004,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",10.55,9.64,0.875374043175327,NA
"277",277,7,58,"SAVED",37.52,40.44,"PLAYER 22","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 3","LOCKE","SHORT PASS","RIGHT","MIDDLE","POSSESSION",2022,0,0.0187538016137357,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",2.05,5.2,0.01,NA
"278",278,7,27,"MISSED",30.27,29.13,"PLAYER 22","HOME","OPENPLAY","RIGHTFOOT","NONDOMINANT","OPPONENT 11","","","MIDDLE","OFFENSIVE","POOR CLEARANCE",2022,0,0.0317072716614145,"MIDDLE","TEAM","2022 - OPPONENT 11 - HOME","GK",-13.2,7.04,0.01,NA
"279",279,7,51,"MISSED",86.54,25.02,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 11","","SHORT PASS","MIDDLE","OFFENSIVE","POSSESSION",2022,0,0.0217616936736489,"MIDDLE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",-14.18,9.04,0.938845842587867,NA
"280",280,7,28,"SAVED",87.4,73.63,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 2","","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.01,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",5.89,5.59,0.944978686251096,NA
"281",281,7,72,"SAVED",85.07,10.5,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","","RIGHT","MIDDLE","COUNTER",2022,0,0.0103576240424642,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-7.54,1.7,0.01,NA
"282",282,7,27,"MISSED",91.57,29.93,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 8","","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.037696894392611,"SIDE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",13.58,2.86,0.01,NA
"283",283,7,17,"MISSED",35.03,40.47,"PLAYER 22","AWAY","OPENPLAY","RIGHTFOOT","NONDOMINANT","OPPONENT 5","PARKER","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.0231691503178604,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",6.8,11.55,0.951452294050489,NA
"284",284,7,27,"BLOCKED",30.08,41.71,"PLAYER 22","HOME","CORNER","LEFTFOOT","DOMINANT","OPPONENT 8","KING","SHORT PASS","RIGHT","OFFENSIVE","RESTART",2022,0,0.0349421652265576,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",NA,NA,0.954739354319094,NA
"285",285,7,87,"SAVED",86.63,41.86,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","","MIDDLE","MIDDLE","COUNTER",2022,0,0.026322176532857,"MIDDLE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-4.32,5.31,0.881642115032265,NA
"286",286,7,47,"SAVED",28.98,28.97,"PLAYER 22","HOME","OPENPLAY","RIGHTFOOT","NONDOMINANT","OPPONENT 11","","","MIDDLE","OFFENSIVE","POOR CLEARANCE",2022,0,0.0351244288842703,"MIDDLE","TEAM","2022 - OPPONENT 11 - HOME","GK",-2.31,6.86,0.890416205313287,NA
"287",287,7,7,"SAVED",33.77,50.8,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 7","W. SHAFFER","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.0206750864452333,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",10.22,5.05,0.95965479875724,NA
"288",288,8,4,"MISSED",104.38,65.7,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 11","","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0257524944773582,"SIDE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",9.51,11.63,0.930183051695912,NA
"289",289,8,6,"SAVED",103.08,71.77,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 9","","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.0155895157140355,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",-0.65,2.47,0.968247864473351,NA
"290",290,8,3,"BLOCKED",103.6,12.87,"PLAYER 16","AWAY","THROW-IN","RIGHTFOOT","","OPPONENT 14","","THROW-IN","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.0327521546823632,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",NA,NA,0.948480773741229,NA
"291",291,8,88,"SAVED",94.66,15.33,"PLAYER 10","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 7","W. SHAFFER","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.024645020666301,"SIDE","TEAM","2022 - OPPONENT 7 - HOME","GK",-2.99,5.82,0.851767758960562,NA
"292",292,8,24,"SAVED",16.54,6.14,"PLAYER 9","AWAY","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 9","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0196680663451922,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-11.18,5.74,0.968279865424815,NA
"293",293,8,22,"SAVED",116.86,66.63,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 6","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0290818618671485,"MIDDLE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",1.94,3.94,0.01,NA
"294",294,NA,15,"GOAL",108.908594815825,19.8291481923602,"","HOME","","RIGHTFOOT","DOMINANT","OPPONENT","","N/A","LEFT","","POSSESSION",2026,1,0.0679379763460939,"SIDE","","2026 - OPPONENT - HOME","GK",-8.52,7.85,0.958138352433686,NA
